frame_id,timestamp,x,y,z,target_yaw,target_pitch,distance,armor_orientation_yaw
179,5966.07,-0.316424,0.206347,2.83854,-0.111016,0.0721217,2.86357,0.803834
180,5999.4,-0.620119,0.256161,2.85263,-0.214055,0.0875248,2.93047,-0.386143
181,6032.73,-0.522192,0.248272,2.71181,-0.190234,0.0896597,2.77276,-0.141862
182,6066.06,-0.434109,0.243649,2.63836,-0.163076,0.0908723,2.68491,0.395376
183,6099.39,-0.376948,0.254693,2.76613,-0.135439,0.0909806,2.80329,0.404259
184,6132.72,-0.305621,0.249979,2.75109,-0.110637,0.0900657,2.77928,0.758066
185,6166.05,-0.611279,0.204124,2.81862,-0.213565,0.0706569,2.89135,-0.496774
186,6199.38,-0.549625,0.207653,2.81132,-0.193069,0.0723641,2.87206,-0.138378
187,6232.71,-0.458647,0.201063,2.68638,-0.1691,0.0736444,2.73266,-0.00186956
188,6266.04,-0.401041,0.206639,2.75775,-0.144411,0.0740148,2.79441,-0.0607439
189,6299.37,-0.335554,0.204783,2.76043,-0.120965,0.0735103,2.78828,0.685486
190,6332.7,-0.299616,0.214425,2.92457,-0.102092,0.0728077,2.94768,0.952825
191,6366.03,-0.55282,0.245683,2.71502,-0.200869,0.0884396,2.7816,-0.270788
192,6399.36,-0.466778,0.244315,2.65845,-0.173811,0.0902706,2.71015,-0.056013
193,6432.69,-0.397741,0.251331,2.72778,-0.144791,0.0909223,2.76805,0.260289
194,6466.02,-0.321694,0.248968,2.72324,-0.117584,0.0905442,2.75345,0.629214
196,6532.68,-0.581018,0.211549,2.8805,-0.199037,0.0718681,2.94612,-0.247726
197,6566.01,-0.484014,0.202004,2.71569,-0.176377,0.0730996,2.76587,-0.0603929
198,6599.34,-0.415236,0.20236,2.71845,-0.151576,0.0734537,2.75741,0.304166
199,6632.67,-0.349126,0.201273,2.71696,-0.127798,0.0733441,2.74669,0.572939
200,6666,-0.303229,0.203979,2.79959,-0.107891,0.0723106,2.82334,0.858206
201,6699.33,-0.601008,0.254149,2.80667,-0.21095,0.088314,2.88153,-0.373096
202,6732.66,-0.504205,0.246617,2.6722,-0.186493,0.0904424,2.73051,-0.135798
203,6765.99,-0.429309,0.249094,2.68028,-0.158824,0.0915097,2.72585,0.255361
204,6799.32,-0.357216,0.251023,2.71419,-0.130858,0.0914388,2.74908,0.470647
205,6832.65,-0.300582,0.256445,2.81101,-0.106525,0.0904641,2.83864,0.765481
206,6865.98,-0.592517,0.20259,2.77479,-0.210377,0.0712804,2.84457,-0.46228
207,6899.31,-0.517501,0.201595,2.7024,-0.189207,0.0731367,2.75888,-0.184737
208,6932.64,-0.448704,0.203632,2.69933,-0.164722,0.0742799,2.74393,0.079893
209,6965.97,-0.382828,0.205777,2.72555,-0.139546,0.0746266,2.75998,0.419403
210,6999.3,-0.314841,0.200079,2.68825,-0.116586,0.0737879,2.71401,0.768439
211,7032.63,-0.278302,0.206042,2.81886,-0.0984097,0.0726128,2.84004,1.01545
212,7065.96,-0.544672,0.250233,2.73832,-0.196345,0.0893874,2.80316,-0.208907
213,7099.29,-0.454113,0.246429,2.67207,-0.16834,0.0906711,2.72156,0.00124755
214,7132.62,-0.386773,0.254557,2.75736,-0.13936,0.0911708,2.79597,0.155973
215,7165.95,-0.310768,0.252375,2.75532,-0.112314,0.0907683,2.78425,0.647667
216,7199.28,-0.608389,0.202441,2.79833,-0.21408,0.0705749,2.87085,-0.585689
217,7232.61,-0.545252,0.204392,2.76495,-0.194704,0.0723993,2.8256,-0.278174
218,7265.94,-0.467043,0.201824,2.69692,-0.171476,0.0736041,2.74449,-0.0125493
219,7299.27,-0.403234,0.204834,2.72844,-0.146727,0.0741308,2.76567,0.0686805
220,7332.6,-0.333689,0.200002,2.68505,-0.123643,0.0737847,2.71308,-0.374919
221,7365.93,-0.299167,0.209677,2.87117,-0.103822,0.0725077,2.89432,0.876204
222,7399.26,-0.574839,0.250989,2.7447,-0.206452,0.0892653,2.81546,-0.345401
223,7432.59,-0.491942,0.248547,2.68409,-0.181269,0.0908323,2.74009,-0.0685767
224,7465.92,-0.408484,0.246765,2.64606,-0.153165,0.091906,2.68876,0.332662
225,7499.25,-0.338625,0.248644,2.68295,-0.12555,0.0916885,2.71564,0.573463
228,7599.24,-0.502216,0.201519,2.68635,-0.184818,0.073605,2.74031,-0.165851
229,7632.57,-0.432625,0.202653,2.68072,-0.160004,0.0744928,2.72296,0.0210705
231,7699.23,-0.303963,0.200355,2.69103,-0.112477,0.0738479,2.71555,0.811364
233,7765.89,-0.516761,0.244953,2.66686,-0.191399,0.0899304,2.72749,-0.213224
234,7799.22,-0.432568,0.244637,2.62744,-0.163171,0.0916144,2.67403,-0.000276802
235,7832.55,-0.361453,0.24858,2.68382,-0.133873,0.0915367,2.71943,0.363195
236,7865.88,-0.29328,0.24873,2.71022,-0.107793,0.0909901,2.73737,0.724834
239,7965.87,-0.449104,0.199585,2.66134,-0.167176,0.0738144,2.70633,-0.0501324
240,7999.2,-0.390381,0.205437,2.72716,-0.14218,0.0744322,2.76261,0.313995
241,8032.53,-0.32796,0.202922,2.73121,-0.119506,0.0736343,2.75831,0.656044
242,8065.86,-0.292692,0.21128,2.88595,-0.101074,0.0727077,2.90844,0.923517
243,8099.19,-0.580378,0.260781,2.82403,-0.202692,0.0902077,2.89482,-0.221769
244,8132.52,-0.470218,0.246296,2.63046,-0.17689,0.0919114,2.68348,-0.095245
245,8165.85,-0.397465,0.249167,2.65441,-0.148633,0.0925688,2.69554,-0.0642612
246,8199.18,-0.326063,0.248967,2.67571,-0.121262,0.0921024,2.70698,0.613861
248,8265.84,-0.564705,0.202759,2.73538,-0.203585,0.0724668,2.80041,-0.365365
249,8299.17,-0.49106,0.202302,2.68377,-0.180972,0.0740134,2.73582,-0.0821955
250,8332.5,-0.423977,0.206462,2.70121,-0.155688,0.0753656,2.74206,0.217675
251,8365.83,-0.356698,0.206801,2.717,-0.130537,0.0753236,2.7481,0.521955
252,8399.16,-0.299293,0.20445,2.73723,-0.108909,0.0741137,2.76113,0.834892
254,8465.82,-0.512632,0.25177,2.71266,-0.186775,0.0909472,2.77213,-0.0471861
255,8499.15,-0.410818,0.241424,2.58098,-0.157847,0.0921153,2.6246,0.413677
256,8532.48,-0.335145,0.241384,2.58748,-0.128808,0.0922537,2.62024,0.570833
257,8565.81,-0.277728,0.246024,2.6774,-0.103361,0.0911455,2.70299,0.793198
